"Size","Threads","AvgTime","MinTime","MaxTime","Speedup","Efficiency"
"100","1","63,25","60,23","68,43","1","1"
"100","2","38,75","30,94","51,54","1,63","0,82"
"100","4","23,26","21,1","26","2,72","0,68"
"100","8","15,96","15,18","17,42","3,96","0,5"
"500","1","1495,27","1465,51","1532,92","1","1"
"500","2","829,68","826,77","833,11","1,8","0,9"
"500","4","495,66","495,33","495,96","3,02","0,75"
"500","8","305,2","293,53","312,86","4,9","0,61"
"1000","1","6238,52","5729,19","6525,29","1","1"
"1000","2","3316,28","3233,17","3450,13","1,88","0,94"
"1000","4","2015,7","1956,69","2114,41","3,09","0,77"
"1000","8","1282,9","1226,57","1375,78","4,86","0,61"
